Source,Family,Genera,Species,Individuals Observed,Location,Longitude,Latitude,Country,Usual Pattern,Unusual Pattern,Pattern Notes,Iris color,Lifestage,Citation,Year,Notes
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Virginia, USA",38.6070281,-77.10902812,USA,Green,Blue,Full body,N/A,Adult,https://www.inaturalist.org/observations/95363669,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Virginia, USA",38.60757807,-77.11793014,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/95362603,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Virginia, USA",38.61184718,-77.38890138,USA,Green,Blue,Full body,N/A,Adult,https://www.inaturalist.org/observations/94315578,2021,duplicate records? https://www.inaturalist.org/observations/94346370 https://www.inaturalist.org/observations/94405030 https://www.inaturalist.org/observations/94405031 https://www.inaturalist.org/observations/94405033 https://www.inaturalist.org/observations/94405034 https://www.inaturalist.org/observations/94405035 https://www.inaturalist.org/observations/94405623 https://www.inaturalist.org/observations/94405988 https://www.inaturalist.org/observations/94406112 
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Virginia, USA",38.63373477,-77.27267452,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/95457186,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Virginia, USA",38.63482156,-77.31743058,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/95501611,2021,duplicate records? https://www.inaturalist.org/observations/95920325 https://www.inaturalist.org/observations/95928539 https://www.inaturalist.org/observations/95931472 https://www.inaturalist.org/observations/95931479 https://www.inaturalist.org/observations/96101521 https://www.inaturalist.org/observations/96269994 https://www.inaturalist.org/observations/97277499
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Virginia, USA",38.64293918,-77.28349774,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/96448468,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Virginia, USA",38.66570874,-77.14869313,USA,Green,Blue,Full body,N/A,Adult,https://www.inaturalist.org/observations/94333775,2021,duplicate record? https://www.inaturalist.org/observations/94531499
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Virginia, USA",38.68967164,-77.36606925,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/95478185,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Virginia, USA",38.69493483,-77.35812266,USA,Green,Blue,Full body,N/A,Adult,https://www.inaturalist.org/observations/95393978,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Virginia, USA",38.70957253,-77.20897187,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/57881338,2020,injured?
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Virginia, USA",38.77924475,-77.37949014,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/38551989,2019,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Wisconsin, USA",42.73817457,-88.88986311,USA,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/28221818,2019,duplicate record? https://www.inaturalist.org/observations/34726246
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Wisconsin, USA",44.81288052,-91.27034588,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/63582809,2020,hibernating?
iNat,Hyperoliidae,Kassina,Kassina senegalensis,1,Mozambique,-12.17439538,38.08879155,Mozambique,Green/Brown,Blue/Silver,Whole body,N/A,Adult,https://www.inaturalist.org/observations/20803490,2019,
iNat,Hyperoliidae,Kassina,Kassina senegalensis,1,South Africa,-23.886182,29.96057,South Africa,Brown,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/102653158,2021,
iNat,Leptodactylidae,Leptodactylus,Leptodactylus fuscus,1,Colombia,11.28272,-74.02399,Colombia,Brown,Turquoise,Partial body,N/A,Adult,https://www.inaturalist.org/observations/25495793,2019,
News or Social,Ranidae,Lithobates,"""bullfrog""",1,"Illinois, USA",-89.3985,40.6331,USA,green,blue,(no photo),,,https://www.nbcchicago.com/news/local/rare-blue-frog-spotted-in-dupage-county/2096521/,2012,
News or Social,Ranidae,Lithobates,"""bullfrog""",1,"Illinois, USA",-89.3985,40.6331,USA,green,turquoise,partial body,,,https://chicago.suntimes.com/2019/6/26/18759450/bullfrogs-blue-variant-talking-blues-bullfrogs-wonder-variety-rare,2019,
News or Social,Ranidae,Lithobates,"""bullfrog""",1,"Indiana, USA",-85.6024,40.5512,USA,green,turquoise,partial body,,,https://www.earthtouchnews.com/in-the-field/backyard-wildlife/blue-is-the-new-green-rare-turquoise-coloured-bullfrog-spotted-in-indiana/,2020,
News or Social,Ranidae,Lithobates,"""bullfrog""",1,"Ohio, USA",,,USA,green,turquoise,partial body,,,https://www.news5cleveland.com/news/local-news/ribbiting-discovery-ohio-man-finds-rare-blue-bullfrog-considered-1-in-a-million,2020,
News or Social,Ranidae,Lithobates,"""bullfrog""",1,"Ontario, USA",-117.6509,34.0633,USA,green,turquoise,partial body,,,https://www.guelphtoday.com/around-ontario/a-one-in-a-million-catch-at-red-deere-lake-1010480,2018,https://www.sudbury.com/local-news/a-one-in-a-million-catch-at-red-deere-lake-1008992
News or Social,Ranidae,Lithobates,bullfrog?,1,"Maine, USA",-69.4455,45.2538,USA,green,blue,partial body,,,https://www.sunjournal.com/2020/07/30/backyard-nature-a-frog-eat-frog-world/,2020,
News or Social,Ranidae,Lithobates,leopard frog,1,"Massachusetts, USA",-71.3824,42.4072,USA,green,turquoise,whole body,,,https://www.bostonglobe.com/metro/regionals/west/2014/10/25/not-easy-being-blue-mass-fisheries-and-wildlife-biologist-finds-rare-blue-leopard-frog/pLiTrmx5sjdYPq9u5RYyZP/story.html,2014,
iNat,Ranidae,Lithobates,Lithobates clamitans,2,(obscurred),,,,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/36729977,2019,
iNat,Ranidae,Lithobates,Lithobates septentrionalis,1,(obscurred),,,,Brown/Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/31397426,2019,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,(private),,,,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/15147501,2014,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,Brazil,-25.2071511,-49.1140998,Brazil,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/54018221,2020,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"British Columbia, Canada",49.26166934,-122.7316813,Canada,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/48032231,2020,
News or Social,Ranidae,Lithobates,"""bullfrog""",1,"California, USA",-119.4179,36.7783,USA,green,turquoise,partial body,,,https://www.earthtouchnews.com/in-the-field/backyard-wildlife/rare-blue-green-bullfrog-spotted-in-california/,2017,https://www.redding.com/story/news/local/2017/06/09/one-in-a-million-frog-found-lake-shasta/380859001/
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"California, USA",37.1131945,-122.0658417,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/80034691,2021,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"California, USA",37.39281437,-121.8360095,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/46737032,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Connecticut, USA",41.72568595,-72.21911576,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/46521409,2019,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Connecticut, USA",41.75097672,-72.20347479,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/93698799,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Connecticut, USA",41.9437975,-72.9968516,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/51347075,2020,
Sci Lit,Ranidae,Lithobates,Lithobates pipiens,1,Georgia,-82.9071,32.1574,USA,partly visible,"light sky-blue, green, dark brown",,,adult,"Martof, 1964, Jablonski et al. 2014",,
Sci Lit,Ranidae,Lithobates,Lithobates pipiens,1,Georgia,-82.9071,32.1574,USA,,"light blue, deep blue, blue-green",,,,"Berns & Uhler, 1966, Jablonski et al. 2014",,
Sci Lit,Ranidae,Lithobates,Lithobates pipiens,1,Georgia,-82.9071,32.1574,USA,green-brown,sky-blue,,,adult,"Martof, 1962",,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Georgia, USA",30.83900943,-83.15510701,USA,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/41334413,2012,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Illinois, USA",40.20307853,-88.3942223,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/79872604,2021,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Illinois, USA",41.61349797,-90.163138,USA,Green/Brown,Turquoise,Partial body,N/A,Adult,https://www.inaturalist.org/observations/84336451,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Illinois, USA",42.44338099,-88.37304792,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/49356346,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Indiana, USA",41.59691496,-87.17004938,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/57501858,2020,
Sci Lit,Ranidae,Lithobates,Lithobates catesbeians,1,Kentuky,-84.27,37.8393,USA,,"light blue, deep blue, blue-green",,,,"Berns & Uhler, 1966, Jablonski et al. 2014",,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Maine, USA",43.09506117,-70.70217167,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/49322325,2020,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Maine, USA",43.25290333,-70.83467167,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/51081986,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Maine, USA",44.0121705,-69.91443483,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/51828234,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Maine, USA",44.126676,-70.403322,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/58119946,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Maine, USA",44.43584716,-69.13618859,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/60363767,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Maine, USA",44.44841333,-69.38328667,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/59335841,2020,
Sci Lit,Ranidae,Lithobates,Lithobates clamitans,31,"Maine, Vermont, Massachusetts, New York, New Jersey (USA); SE Canada",,,,,"light blue, deep blue, blue-green",,,,"Berns & Uhler, 1966, Jablonski et al. 2014",,
Sci Lit,Ranidae,Lithobates,Lithobates pipiens,6,"Maine, Vermont, Massachusetts, New York, New Jersey (USA); SE Canada",,,,,"light blue, deep blue, blue-green",,,,"Berns & Uhler, 1966, Jablonski et al. 2014",,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Maryland, USA",39.01676225,-77.03347929,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/53900950,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Maryland, USA",39.6512291,-75.84607188,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/52135518,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Massachusetts, USA",42.15180408,-71.78638859,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/96154193,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Massachussets, USA",42.20592594,-71.54539514,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/34927563,2019,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Massachussets, USA",42.2417675,-70.8036544,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/83458239,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Massachussets, USA",42.26856776,-72.61630966,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/37326587,2019,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Massachussets, USA",42.69744167,-73.22624167,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/84636241,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",42.30477142,-83.64222717,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/87159468,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",42.3427,-82.97562866,USA,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/84130859,2018,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",42.4505198,-83.9532571,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/3815273,2016,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",42.61053662,-84.38630825,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/8398561,2017,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",42.70656667,-82.59059167,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/52103159,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",42.71654634,-83.06972074,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/61219253,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",42.797806,-83.70495,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/55329861,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",44.66481333,-84.39698833,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/92412116,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",45.39726794,-84.90062148,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/48348657,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",45.45436138,-85.06252599,USA,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/79593381,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",45.612355,-85.5932,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/3682844,2016,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Michigan, USA",46.82878283,-85.82076911,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/93532929,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Miennesota, USA",45.22293,-92.89605,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/57080774,2020,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Minnesota, USA",44.1278188,-92.76173042,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/57320326,2020,
iNat,Ranidae,Lithobates,Lithobates pipiens,1,"Minnesota, USA",48.03740569,-90.83530283,USA,Brown/Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/3925933,2016,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Missouri, USA",38.969288,-92.222552,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/8429604,2017,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Missouri, USA",39.35465106,-94.60925,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/46885187,2020,
Sci Lit,Ranidae,Lithobates,Lithobates pipiens,1,Montana,-110.3626,46.8797,USA,"visible, normal",blue coloration over the back from the tips of the external nares to the arms,,,,"Balck, 1967, Jablonski et al. 2014",,
Sci Lit,Ranidae,Lithobates,Lithobates pipiens,1,Montana,-110.3626,46.8797,USA,green-brown,blue,,,,"Black, 1967",,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Nebraska, USA",41.29173245,-96.09534873,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/49468740,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Brunswick, Canada",45.58259472,-64.98165987,Canada,Green,Blue/Turquoise,Whole body,N/A,Adult,https://www.inaturalist.org/observations/83789653,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Brunswick, Canada",45.753334,-64.735125,Canada,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/2845094,2015,
iNat,Ranidae,Lithobates,Lithobates pipiens,1,"New Brunswick, Canada",45.95094409,-66.61184717,Canada,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/91620578,2020,
iNat,Ranidae,Lithobates,Lithobates pipiens,1,"New Brunswick, Canada",45.95097778,-66.60918611,Canada,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/96416191,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Brunswick, Canada",45.952474,-66.678664,Canada,Green,Blue/Turquoise,Whole body,N/A,Adult,https://www.inaturalist.org/observations/28436868,2019,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Brunswick, Canada",45.952859,-66.678561,Canada,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/67536702,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Brunswick, Canada",45.952878,-66.678614,Canada,Green,Blue/Turquoise,Whole body,N/A,Adult,https://www.inaturalist.org/observations/67536432,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Brunswick, Canada",45.96497345,-66.93331146,Canada,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/94747447,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Brunswick, Canada",46.41632733,-64.82679717,Canada,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/59122730,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Hampshire, USA",42.7665989,-71.40307965,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/27267540,2019,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Hampshire, USA",42.99308014,-71.19854736,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/84071680,2021,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"New Hampshire, USA",43.35929167,-71.47316167,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/55854053,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Hampshire, USA",43.72967167,-71.69857,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/56181168,2020,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"New Hampshire, USA",43.79604687,-71.10464872,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/91466603,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Hampshire, USA",44.04330833,-71.27529167,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/92962700,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Jersey, USA",40.14342705,-74.21383584,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/37796476,2019,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Jersey, USA",40.41248235,-74.4972872,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/84307120,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New Jersey, USA",40.6777376,-74.5367736,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/33524449,2019,
Sci Lit,Ranidae,Lithobates,Lithobates clamitans,1,New York,-74.006,40.7128,USA,,yellow pigmentation w/ blue spot,coloration usually is green,N/A,N/A,"Volume 41. Issue 1, Rana clamitans",,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"New York, USA",40.74547009,-73.73989696,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/95261014,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",41.251805,-73.87834167,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/59520381,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",42.02089227,-79.16999092,USA,Green,Blue/Turquoise,Whole body,N/A,Adult,https://www.inaturalist.org/observations/11373865,2016,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",42.26399544,-79.25865646,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/47797743,2019,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",42.41023322,-78.62931676,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/49824971,2019,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",42.42967852,-78.60726235,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/49824222,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",42.48785833,-77.85498833,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/86502323,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",42.58182167,-74.17408833,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/55334102,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",42.72232173,-73.8040733,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/56970950,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",42.78228105,-73.8448999,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/56684927,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",42.80104,-73.734161,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/63312842,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",42.8914105,-78.7178955,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/94695777,2010,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",42.93774018,-74.19035599,USA,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/87624123,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",43.31019038,-75.59889793,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/19727,2010,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",43.50856197,-73.60346197,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/90082747,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",43.6025803,-73.7999756,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/55008890,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",43.78317103,-74.26536664,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/55073249,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",43.97629528,-74.44166097,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/47669901,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",44.15172217,-74.78780333,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/94223172,2021,duplicate records https://www.inaturalist.org/observations/95589799 https://www.inaturalist.org/observations/95810905
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"New York, USA",44.186471,-73.790132,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/80262006,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"North Carolina, USA",35.76164513,-78.97679918,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/74471772,2015,
iNat,Ranidae,Lithobates,Lithobates sp,1,"North Carolina, USA",35.809025,-78.95548833,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/7448805,2017,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Nova Scotia, Canada",43.49517656,-65.57769045,Canada,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/49497678,2020,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Nova Scotia, Canada",44.20171593,-64.74514329,Canada,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/8961566,1980,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Nova Scotia, Canada",44.36860482,-64.5136978,Canada,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/84009962,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Nova Scotia, Canada",44.53327752,-65.06711536,Canada,Green,Blue/Turquoise,Whole body,N/A,Adult,https://www.inaturalist.org/observations/59610814,2020,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Nova Scotia, Canada",44.85255727,-63.89388291,Canada,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/86761037,2021,duplicate record? https://www.inaturalist.org/observations/86500136
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Nova Scotia, Canada",45.40040435,-64.45235763,Canada,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/6737311,2017,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Nova Scotia, Canada",45.64480104,-63.18961143,Canada,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/83175945,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Nova Scottia, Canada",44.733671,-63.7850131,Canada,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/24903313,2016,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,obscured,,,,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/95771135,2021,
iNat,Ranidae,Lithobates,Lithobates clamitans,1,"Ohio, USA",39.2693828,-84.5053702,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/82085076,2021,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Ohio, USA",39.87449287,-84.17676299,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/61005391,2020,
iNat,Ranidae,Lithobates,Lithobates catesbeianus,1,"Ohio, USA",39.98349351,-81.65998823,USA,Green,Blue/Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/85538703,2021,
